,PREF_NAME,PREFECTUAL_OFFICE,LATITUDE,LONGITUDE
0,Hokkaido,Sapporo,43.063968,141.347899
1,Aomori Prefecture,Aomori,40.824622999999995,140.740593
2,Iwate Prefecture,Morioka,39.703531,141.15266699999998
3,Miyagi Prefecture,Sendai,38.268839,140.872103
4,Akita,Akita,39.7186,140.102334
5,Yamagata Prefecture,Yamagata,38.240437,140.36363400000002
6,Fukushima Prefecture,Fukushima,37.750299,140.467521
7,Ibaraki Prefecture,Mito,36.341813,140.44679299999999
8,Tochigi Prefecture,Utsunomiya,36.565725,139.883565
9,Gunma Prefecture,Maebashi,36.391208,139.060156
10,Saitama Prefecture,Saitama,35.857428000000006,139.648933
11,Chiba Prefecture,Chiba,35.605058,140.123308
12,Tokyo,Shinjuku,35.689521,139.69170400000002
13,Kanagawa Prefecture,Yokohama,35.447753000000006,139.64251399999998
14,Niigata Prefecture,Niigata,37.902418,139.023221
15,Toyama Prefecture,Toyama,36.69529,137.21133799999998
16,Ishikawa Prefecture,Kanazawa,36.594682,136.625573
17,Fukui Prefecture,Fukui,36.065219,136.221642
18,Yamanashi Prefecture,Kofu,35.664158,138.568449
19,Nagano Prefecture,Nagano,36.651289,138.181224
20,Gifu Prefecture,Gifu,35.391227,136.72229099999998
21,Shizuoka Prefecture,Shizuoka,34.976978,138.38305400000002
22,Aichi Prefecture,Nagoya city,35.180188,136.906565
23,Mie,Tsu,34.730283,136.508591
24,Shiga Prefecture,Otsu,35.004531,135.86858999999998
25,Kyoto,Kyoto City,35.021004,135.755608
26,Osaka prefecture,Osaka,34.686316,135.519711
27,Hyogo Prefecture,Kobe,34.691278999999994,135.183025
28,Nara Prefecture,Nara,34.685333,135.832744
29,Wakayama Prefecture,Wakayama,34.226034000000006,135.167506
30,Tottori Prefecture,Tottori,35.503869,134.237672
31,Shimane Prefecture,Matsue,35.472297,133.050499
32,Okayama Prefecture,Okayama,34.661772,133.934675
33,Hiroshima Prefecture,Hiroshima,34.39656,132.459622
34,Yamaguchi Prefecture,Yamaguchi,34.186121,131.4705
35,Tokushima Prefecture,Tokushima,34.06577,134.559303
36,Kagawa Prefecture,Takamatsu,34.340149,134.043444
37,Ehime Prefecture,Matsuyama,33.84166,132.765362
38,Kochi Prefecture,Kochi,33.559705,133.53108
39,Fukuoka Prefecture,Fukuoka,33.606784999999995,130.41831399999998
40,Saga Prefecture,Saga,33.249367,130.298822
41,Nagasaki Prefecture,Nagasaki,32.744839,129.87375600000001
42,Kumamoto Prefecture,Kumamoto,32.789828,130.741667
43,Oita Prefecture,Oita,33.238194,131.61259099999998
44,Miyazaki Prefecture,Miyazaki,31.91109,131.423855
45,Kagoshima prefecture,Kagoshima,31.560147999999998,130.557981
46,Okinawa,Naha,26.212401,127.68093200000001
